GEOID,ptg_owner_unit_resident,ptg_renter_unit_resident,ptg_race_white,ptg_race_black,pop_density_perSqkm,household_w_car,rate_w_car,household_w_car_2017,rate_w_car_2017,communte_by_car_by_household
36047113200,0.3413621262458471,0.6586378737541528,0.0490998363338788,0.7729132569558101,12457.12130402206,311,0.3849009900990099,447,0.7315875613747954,0.21153846153846154
36047113400,0.0604770017035775,0.9395229982964224,0.1015010721944245,0.7169406719085061,18237.517924651285,121,0.11921182266009853,105,0.11563876651982379,0.1415929203539823
36047114201,0.6545454545454545,0.3454545454545454,0.2463672391017173,0.4266842800528401,5031.270977475591,506,0.7993680884676145,293,0.5528301886792453,0.47249190938511326
36047114202,0.2692448011674571,0.7307551988325429,0.1341991341991342,0.3531746031746032,23261.082999773433,431,0.45178197064989517,534,0.5946547884187082,0.28934967012252594
36047114400,0.2231956612432206,0.7768043387567793,0.1700105596620908,0.6282998944033791,6608.329146429966,205,0.24818401937046006,292,0.41595441595441596,0.1273532668881506
36047114600,0.3298143429195486,0.6701856570804514,0.2023333333333333,0.1833333333333333,18738.171529222174,417,0.5048426150121066,522,0.5204386839481555,0.31905961376994124
36047115000,0.4580007601672368,0.5419992398327632,0.100497159090909,0.61328125,17794.628751974724,445,0.49887892376681614,444,0.4977578475336323,0.20580474934036938
36047115200,0.3174357386187674,0.6825642613812326,0.1616599566429235,0.4719727469804893,19435.883854191747,649,0.5948670944087993,399,0.4002006018054162,0.32378001549186675
36047115600,0.1422105764649833,0.8577894235350166,0.0402447634737585,0.805836667451165,26579.174538039057,678,0.3785594639865997,284,0.17694704049844237,0.3466666666666667
36047115800,0.5292945396572339,0.470705460342766,0.0605143721633888,0.6289712556732224,17060.15576102877,426,0.4913494809688581,419,0.4419831223628692,0.20703125
36047116000,0.4075382803297998,0.5924617196702002,0.1587531714389271,0.7118521203334541,18221.564716604807,545,0.5810234541577826,294,0.3188720173535792,0.45935727788279773
36047116200,0.5496124031007752,0.4503875968992248,0.0106261859582542,0.7347248576850095,18369.153764108,510,0.5604395604395604,440,0.5684754521963824,0.22797456857402362
36047116400,0.4948106591865358,0.5051893408134642,0.1497964721845318,0.6542740841248303,20295.985415530697,641,0.5355054302422724,554,0.554,0.21341898643825838
36047116600,0.2743479696269396,0.7256520303730604,0.0815591221749099,0.4307238781526367,19154.275676014808,476,0.43312101910828027,452,0.46887966804979253,0.14730878186968838
36047116800,0.3234698013781921,0.6765301986218079,0.296028880866426,0.1945447252306458,17317.791547417266,429,0.6412556053811659,276,0.46464646464646464,0.45815358067299394
36047117000,0.2424859908303616,0.7575140091696383,0.1399491094147582,0.1506361323155216,12775.58530385088,207,0.2793522267206478,133,0.2665330661322645,0.24964131994261118
36047117201,0.5389667250437828,0.4610332749562171,0.2765327695560253,0.2841437632135306,18311.189569203136,509,0.6662303664921466,422,0.5656836461126006,0.2706422018348624
36047117202,0.4860721226516951,0.5139278773483049,0.2683946488294314,0.3139632107023411,31510.58476373648,609,0.3949416342412451,494,0.4284475281873374,0.21930243669374105
36047117400,0.3031862745098039,0.696813725490196,0.3782494633913665,0.2041497734319103,19698.485852136862,555,0.4160419790104948,490,0.4302019315188762,0.24819971195391263
36047117601,0.3840777879064114,0.6159222120935886,0.2435512897420516,0.3533293341331733,21882.958334427265,465,0.458128078817734,353,0.39529675251959684,0.28518746158574065
36047117602,0.3500498173364331,0.649950182663567,0.441340782122905,0.0831416365428853,21161.482346886973,341,0.3420260782347041,408,0.4281217208814271,0.255663430420712
36047117800,0.2905092592592592,0.7094907407407407,0.3261231281198003,0.1259012756516916,12823.79550206973,380,0.6797853309481217,238,0.49072164948453606,0.40809968847352024
36047118000,0.0,0.0,0.0,0.0,0.0,0,,0,,
36047118201,0.3015625,0.6984375,0.2434375,0.244375,25319.059713419894,412,0.43051201671891326,388,0.43159065628476084,0.31198995605775265
36047118202,0.2920677066047129,0.7079322933952871,0.4281932495036399,0.1171409662475182,24307.06368740247,356,0.3755274261603376,515,0.5438225976768744,0.290144727773949
36047118400,0.3592739411641978,0.6407260588358022,0.3788445552784705,0.1311305070656691,23479.584667030995,868,0.5315370483772198,684,0.47042640990371387,0.3126168224299065
36047118600,0.5318719353908278,0.4681280646091721,0.131078814980436,0.3345444382336501,27203.12630674604,525,0.6481481481481481,346,0.46630727762803237,0.3278566094100075
36047118800,0.2775269872423945,0.7224730127576054,0.1677209124017634,0.3601686793176155,29918.10799651328,468,0.37350359138068634,614,0.4382583868665239,0.32016008004002
36047119000,0.2476349471341124,0.7523650528658876,0.1554126473740621,0.3429796355841372,13269.99388414001,179,0.2370860927152318,267,0.3755274261603376,0.1116751269035533
36047119200,0.2775674993691647,0.7224325006308352,0.1704035874439461,0.3871449925261584,17804.865066269227,569,0.4934952298352125,450,0.4193849021435228,0.28469326980345444
36047119400,0.2845588235294117,0.7154411764705882,0.1215379008746355,0.6388483965014577,30015.14977494107,1094,0.7327528466175486,357,0.3007582139848357,0.2950068712780577
36047119600,0.2222024550791674,0.7777975449208326,0.1673669467787114,0.4599089635854341,18639.25599608419,852,0.40436639772187943,716,0.4024732996065205,0.27584876543209874
36047119800,0.3920842824601366,0.6079157175398633,0.2736951441184108,0.3806803427681122,11780.25285788139,446,0.38481449525452976,339,0.3373134328358209,0.1716705157813703
36047120000,0.5566583953680728,0.4433416046319272,0.0391120507399577,0.4513742071881607,18853.50995489241,384,0.39628482972136225,242,0.328804347826087,0.144473455178416
36047120200,0.7948077883175237,0.2051922116824762,0.0928395061728395,0.3634567901234568,13230.797376055198,399,0.7375231053604436,282,0.5351043643263758,0.39714285714285713
36047121000,0.0,1.0,0.2146609360076408,0.5752148997134671,26388.250045681667,41,0.024984765386959172,198,0.1298360655737705,0.03715170278637771
36047121400,0.0,1.0,0.1112067111206711,0.6801462680146269,26817.956320592544,209,0.1334610472541507,394,0.23749246534056662,0.10984848484848485
36047122000,0.1507644394110985,0.8492355605889015,0.0116666666666666,0.9327777777777778,6603.154106611592,1181,0.4991546914623838,1187,0.5487748497457235,0.4114068441064639
36047123700,0.3041424019338534,0.6958575980661466,0.9525825571549534,0.0269898391193903,29400.049788399305,499,0.39260424862313137,447,0.3494917904612979,0.2744755244755245
36047150200,0.5240562546262029,0.4759437453737972,0.9051282051282052,0.0029304029304029,8550.060132291039,736,0.6976303317535545,756,0.7507447864945382,0.1353135313531353
36047152200,0.7512150668286756,0.2487849331713244,0.4561197534487819,0.1784561197534487,8739.012109444135,1102,0.7860199714693296,796,0.7302752293577982,0.3592278719397363
36061000100,0.0,0.0,0.0,0.0,0.0,0,,0,,
36061000201,0.0,1.0,0.1571642910727682,0.0963990997749437,29545.73160595348,75,0.08542141230068337,78,0.07918781725888324,0.036193029490616625
36061000202,0.2372778368524988,0.7627221631475012,0.3502356806170547,0.1762605342093986,22580.957295832795,490,0.14880048587913758,890,0.25917297612114154,0.026399155227032733
36061000500,0.0,0.0,0.0,0.0,0.0,0,,0,,
36061000600,0.0475784285849682,0.9524215714150316,0.1139428890335782,0.0719002883452702,44720.18169263662,739,0.14236178000385283,651,0.15885797950219618,0.08306332842415316
36061000700,0.1757661148291652,0.8242338851708348,0.7130504957343786,0.0453078164629928,34253.58075101983,287,0.058895957315821874,696,0.16103655714946785,0.016253207869974338
36061000800,0.0184299545083401,0.9815700454916598,0.1425456214851371,0.0018363365086652,39477.49968283887,507,0.11809923130677848,594,0.16269515201314708,0.044962531223980015
36061000900,0.2272727272727272,0.7727272727272727,0.6348684210526315,0.0827850877192982,6102.661215312862,131,0.15162037037037038,201,0.23619271445358403,0.010108303249097473
36061001001,0.8444180522565321,0.1555819477434679,0.7594339622641509,0.0235849056603773,21162.172616448097,446,0.565989847715736,339,0.42428035043804757,0.10520231213872833
36061001002,0.0,1.0,0.1769911504424778,0.2334279512439472,29992.68837451548,280,0.11276681433749497,418,0.1693679092382496,0.04145408163265306
36061001200,0.5741417092768444,0.4258582907231555,0.5657926389222997,0.0288669713735867,34470.17753343782,538,0.27533265097236437,540,0.288,0.12046848856664807
36061001300,0.1886909693454846,0.8113090306545153,0.6648837687718576,0.0705616128368648,15323.94330676889,464,0.17140746213520502,386,0.15001943256898562,0.0369935408103347
